iteration,trial_id,score,config
181,fb7887ad,-0.1,"{'batch_size': 32, 'num_HL': 6, 'down_HL': 10, 'size_HL': 275, 'latent_dim': 73, 'opt_lr': 2.7179130065094083e-05, 'opt_wd': 4.819198053950477e-06}"
354,ccae297f,-0.1,"{'batch_size': 128, 'num_HL': 8, 'down_HL': 13, 'size_HL': 306, 'latent_dim': 113, 'opt_lr': 0.00016798279413902042, 'opt_wd': 3.93997259582242e-06}"
375,fc682b20,-0.1,"{'batch_size': 256, 'num_HL': 7, 'down_HL': 5, 'size_HL': 262, 'latent_dim': 45, 'opt_lr': 1.4648732467374036e-05, 'opt_wd': 4.735540454492843e-06}"
396,d6951b94,-0.1,"{'batch_size': 64, 'num_HL': 8, 'down_HL': 3, 'size_HL': 151, 'latent_dim': 36, 'opt_lr': 2.947975189201522e-05, 'opt_wd': 3.7991121117943197e-06}"
418,fdf509fe,-0.1,"{'batch_size': 64, 'num_HL': 6, 'down_HL': 11, 'size_HL': 208, 'latent_dim': 147, 'opt_lr': 0.000278277025341226, 'opt_wd': 6.796933479651472e-06}"
445,963b7f3f,-0.1,"{'batch_size': 64, 'num_HL': 3, 'down_HL': 11, 'size_HL': 265, 'latent_dim': 64, 'opt_lr': 5.3068162029136426e-05, 'opt_wd': 5.543761346787921e-06}"
472,8e085ac9,-0.1,"{'batch_size': 64, 'num_HL': 6, 'down_HL': 2, 'size_HL': 97, 'latent_dim': 171, 'opt_lr': 2.846314488019197e-05, 'opt_wd': 7.486847409418018e-06}"
500,cb531ff7,-0.1,"{'batch_size': 64, 'num_HL': 5, 'down_HL': 8, 'size_HL': 78, 'latent_dim': 71, 'opt_lr': 0.00010184327478119048, 'opt_wd': 9.872809275894002e-06}"
526,3b9e07f3,-0.1,"{'batch_size': 256, 'num_HL': 7, 'down_HL': 5, 'size_HL': 254, 'latent_dim': 14, 'opt_lr': 3.0000920166507447e-05, 'opt_wd': 6.562045221970262e-06}"
553,71b760d4,-0.1,"{'batch_size': 64, 'num_HL': 3, 'down_HL': 13, 'size_HL': 220, 'latent_dim': 159, 'opt_lr': 0.0005158410933890041, 'opt_wd': 5.255803949346195e-07}"
