iteration,trial_id,score,config
1434,c17ba0ae,0.6516666666666667,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 18, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.4675974923326307, 'latent_dim': 225, 'opt_lr': 0.0002106344372463098, 'opt_wd': 6.905219373622968e-06}"
2832,36677edb,0.6966666666666667,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 27, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.4354345384145675, 'latent_dim': 592, 'opt_lr': 0.00018393863204993322, 'opt_wd': 2.691488517911196e-06}"
4037,720dfcdb,0.6761904761904762,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 17, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.9592386081646016, 'latent_dim': 657, 'opt_lr': 2.543877782840151e-05, 'opt_wd': 9.181776298249506e-06}"
7311,81b18dbf,0.5580952380952381,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.486677949537531, 'latent_dim': 602, 'opt_lr': 0.0008739909776947549, 'opt_wd': 1.4573099621808129e-06}"
16236,e8220c32,0.7002380952380952,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 29, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.000636284249211, 'latent_dim': 306, 'opt_lr': 0.00040371797819204185, 'opt_wd': 7.881333654406924e-06}"
18198,b2aa092a,0.6173809523809524,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 9, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.457425054651569, 'latent_dim': 50, 'opt_lr': 1.2750081738242937e-05, 'opt_wd': 5.709236246259029e-06}"
26615,8396dbab,0.6195238095238095,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.0935299806054226, 'latent_dim': 556, 'opt_lr': 0.00016095925775839749, 'opt_wd': 2.4237727899045184e-06}"
28123,4d94f912,0.6654761904761906,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 18, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.734635859761046, 'latent_dim': 683, 'opt_lr': 6.853926885675622e-05, 'opt_wd': 5.492276820568079e-06}"
32426,38bba67e,0.5447619047619048,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 10, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.0367048164438584, 'latent_dim': 679, 'opt_lr': 2.1379494456560663e-05, 'opt_wd': 5.358146162604389e-06}"
33763,64787b10,0.6857142857142857,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 18, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.8292396764664987, 'latent_dim': 238, 'opt_lr': 1.3853027931393282e-05, 'opt_wd': 6.024082286533385e-06}"
38562,fafe4776,0.5707142857142856,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 18, 'kernel': 4, 'num_HL': 3, 'm_lambda': 1.8710866618928645, 'latent_dim': 284, 'opt_lr': 0.00011137496922334681, 'opt_wd': 4.121847190018256e-06}"
39410,3945b250,0.6566666666666668,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.210812731719921, 'latent_dim': 564, 'opt_lr': 0.00032290947203135565, 'opt_wd': 7.119523623984337e-06}"
40508,01a6a21e,0.6995238095238095,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 16, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.41087834952224, 'latent_dim': 124, 'opt_lr': 0.00015016429209253846, 'opt_wd': 1.3115422038977043e-06}"
41815,ddcd9367,0.6207142857142858,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 18, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.27046618896642927, 'latent_dim': 441, 'opt_lr': 0.00013864188828824618, 'opt_wd': 8.036026630213507e-06}"
43234,b0bbc3f0,0.7119047619047619,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 22, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.7487229147860366, 'latent_dim': 567, 'opt_lr': 3.0983694650650855e-05, 'opt_wd': 9.400087674157652e-06}"
52618,ce5dde94,0.7197619047619048,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 10, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.7973129044150858, 'latent_dim': 106, 'opt_lr': 4.513244736560574e-05, 'opt_wd': 7.523966073510485e-06}"
55468,b2783a46,0.5166666666666667,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 12, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.5100415267704155, 'latent_dim': 303, 'opt_lr': 7.667534428570813e-05, 'opt_wd': 9.366222793332748e-06}"
57433,6a1bf01d,0.6442857142857144,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 11, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.6580950798746363, 'latent_dim': 112, 'opt_lr': 1.9857703811361875e-05, 'opt_wd': 1.9248038218613863e-06}"
58316,2aa1f8c4,0.695952380952381,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 19, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.696510921181452, 'latent_dim': 139, 'opt_lr': 5.128596809950907e-05, 'opt_wd': 1.2057621242106588e-06}"
59360,de1c558f,0.593095238095238,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 6, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.4573494682354995, 'latent_dim': 12, 'opt_lr': 1.2533440885802764e-05, 'opt_wd': 1.7206092228101323e-06}"
84258,1f9f5ff9,0.7121428571428571,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 23, 'kernel': 4, 'num_HL': 2, 'm_lambda': 2.764925633048141, 'latent_dim': 457, 'opt_lr': 3.562736574605244e-05, 'opt_wd': 9.774737355806438e-06}"
117973,3a4157dc,0.7326190476190477,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 32, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.6899949361546233, 'latent_dim': 442, 'opt_lr': 3.141983217575645e-05, 'opt_wd': 9.997298638600202e-06}"
119766,916979a1,0.6447619047619048,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 31, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.7160684613659382, 'latent_dim': 420, 'opt_lr': 4.616916762174608e-05, 'opt_wd': 8.347836043718423e-06}"
122922,e083b254,0.6497619047619049,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 2, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.13189995228098383, 'latent_dim': 488, 'opt_lr': 7.415508734386681e-05, 'opt_wd': 3.913025891650253e-06}"
124143,28115f92,0.6059523809523809,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 13, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.8396661038220744, 'latent_dim': 367, 'opt_lr': 4.336385743189637e-05, 'opt_wd': 6.812081633395121e-06}"
125136,86683151,0.5438095238095239,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 7, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.548986986598057, 'latent_dim': 378, 'opt_lr': 1.651906988115169e-05, 'opt_wd': 8.60928345790479e-06}"
131103,df260cb1,0.5942857142857143,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 3, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.7205930196554978, 'latent_dim': 508, 'opt_lr': 1.0313252430391107e-05, 'opt_wd': 7.402711497863919e-06}"
131743,46bf7256,0.6071428571428571,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 14, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.16806684197477328, 'latent_dim': 187, 'opt_lr': 5.8095912005318574e-05, 'opt_wd': 6.422526016895403e-06}"
134915,5994abe7,0.6059523809523809,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 8, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.13567220290726, 'latent_dim': 12, 'opt_lr': 2.9517309563034154e-05, 'opt_wd': 4.600456195547651e-06}"
140888,7b931521,0.6761904761904762,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 21, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.2550543909583705, 'latent_dim': 222, 'opt_lr': 0.00010143074680098979, 'opt_wd': 8.861257592441132e-06}"
154360,1ac397f6,0.7123809523809524,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 31, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.38491115878714943, 'latent_dim': 73, 'opt_lr': 0.0002250963153641116, 'opt_wd': 7.852610782205375e-06}"
160131,a09aa46d,0.6278571428571429,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 15, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.311402564845285, 'latent_dim': 397, 'opt_lr': 2.3614892781269565e-05, 'opt_wd': 6.6601620379087135e-06}"
160925,9c3f9457,0.5995238095238095,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 4, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.7117138085026152, 'latent_dim': 325, 'opt_lr': 0.0008108555198680322, 'opt_wd': 9.919355595768617e-06}"
162352,99a56f79,0.6523809523809524,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 28, 'kernel': 2, 'num_HL': 2, 'm_lambda': 0.8410613834450431, 'latent_dim': 252, 'opt_lr': 3.399427070243686e-05, 'opt_wd': 4.24535634956314e-08}"
163407,a953f5b8,0.7333333333333333,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 26, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.0575988718038234, 'latent_dim': 187, 'opt_lr': 0.0006063140034357775, 'opt_wd': 3.414614000120006e-06}"
164679,1a9883d8,0.6671428571428573,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 26, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.043493136405552, 'latent_dim': 173, 'opt_lr': 0.0006764803084951572, 'opt_wd': 3.630327627373837e-06}"
168660,58363bba,0.6078571428571429,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 32, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.385567152930509, 'latent_dim': 326, 'opt_lr': 0.0005281417198234032, 'opt_wd': 3.093188647040703e-07}"
169756,1c6ccc0c,0.6495238095238096,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 29, 'kernel': 4, 'num_HL': 2, 'm_lambda': 2.221715413473872, 'latent_dim': 513, 'opt_lr': 0.00024501447725481097, 'opt_wd': 2.963936997382214e-06}"
174299,070f5509,0.6326190476190476,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 26, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.4726141440943872, 'latent_dim': 615, 'opt_lr': 0.000354638726704266, 'opt_wd': 3.200461621363063e-06}"
177965,188554d3,0.5788095238095237,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 24, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.6233433908777, 'latent_dim': 260, 'opt_lr': 0.00028491486028184396, 'opt_wd': 4.790158667717298e-06}"
180253,795f454a,0.6352380952380953,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 29, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.959233834006434, 'latent_dim': 714, 'opt_lr': 0.00059443276403745, 'opt_wd': 4.779683647946269e-07}"
181277,2be2ac20,0.6266666666666667,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.915165827516009, 'latent_dim': 201, 'opt_lr': 0.00044274451541935104, 'opt_wd': 2.3950707200625147e-06}"
182495,7a7d54b6,0.7142857142857143,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 32, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.2786621083265928, 'latent_dim': 338, 'opt_lr': 0.00012824795957674798, 'opt_wd': 5.31184721799738e-06}"
206799,f00bd346,0.719047619047619,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 30, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.5282479587577855, 'latent_dim': 476, 'opt_lr': 8.458183310176907e-05, 'opt_wd': 5.9998531194663135e-06}"
209768,9924bc39,0.6269047619047619,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 25, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.9964521275668234, 'latent_dim': 48, 'opt_lr': 0.0009868555088991995, 'opt_wd': 4.320176525081821e-06}"
215243,914ca57c,0.6673809523809525,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 27, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.0850818171594787, 'latent_dim': 653, 'opt_lr': 0.00020481596453615416, 'opt_wd': 3.3941125390935773e-06}"
230458,37b80649,0.7461904761904762,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.3726966283575424, 'latent_dim': 282, 'opt_lr': 0.0001695839781534428, 'opt_wd': 2.433452986258822e-06}"
233503,83586d33,0.5452380952380952,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.362686875041099, 'latent_dim': 162, 'opt_lr': 0.00017512924465453952, 'opt_wd': 8.729928033972576e-07}"
234345,26d8de9b,0.6473809523809524,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 24, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.9640928542197535, 'latent_dim': 277, 'opt_lr': 0.00040264520987115, 'opt_wd': 2.3048636252735974e-06}"
234964,de7ace5c,0.6666666666666666,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 16, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.7589300202661153, 'latent_dim': 83, 'opt_lr': 0.0007819319796723886, 'opt_wd': 5.160394735030125e-06}"
236572,40ab410e,0.6376190476190475,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.1517654965039603, 'latent_dim': 136, 'opt_lr': 0.00028315557190754394, 'opt_wd': 2.1672494869956003e-06}"
237209,c4a08263,-0.1,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 27, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.5790385422614606, 'latent_dim': 207, 'opt_lr': 0.00013640373798000304, 'opt_wd': 2.729969399779571e-06}"
238123,bfd12b4e,0.6885714285714286,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 22, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.8486958733350987, 'latent_dim': 411, 'opt_lr': 0.0009994173563672329, 'opt_wd': 1.5560918448329077e-06}"
241196,2fe0f6b7,0.630952380952381,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 24, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.042907939004983, 'latent_dim': 40, 'opt_lr': 0.0004946500059201306, 'opt_wd': 8.832633442363896e-07}"
241849,69cba67a,0.6880952380952381,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.0035017636282149, 'latent_dim': 160, 'opt_lr': 8.810534095868286e-05, 'opt_wd': 3.947712891219728e-06}"
242742,583747e0,0.6907142857142857,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 19, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.8232413285018292, 'latent_dim': 300, 'opt_lr': 0.00018564774158564366, 'opt_wd': 5.792530214441501e-06}"
244810,91dde483,0.6292857142857142,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 23, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.6529329851977055, 'latent_dim': 231, 'opt_lr': 0.0006197331766446076, 'opt_wd': 1.9498628871002755e-06}"
253184,c202f4c1,0.6838095238095239,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 28, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.6318796168729852, 'latent_dim': 347, 'opt_lr': 0.00034655623041883514, 'opt_wd': 2.6942427514955966e-06}"
253776,d8f7c16e,0.718095238095238,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 21, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.3931940664126354, 'latent_dim': 89, 'opt_lr': 0.0001193528814946392, 'opt_wd': 4.40940760669249e-06}"
