iteration,trial_id,score,config
2292,38d0f99b,0.8009708737864077,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 16, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.7624354197666754, 'latent_dim': 160, 'opt_lr': 0.00011888821832481437, 'opt_wd': 9.056499818922315e-08}"
2540,1dc1ce13,0.7468176914778857,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 19, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.8831234870454736, 'latent_dim': 71, 'opt_lr': 7.216910044451183e-05, 'opt_wd': 1.0577523227550012e-06}"
3606,92a31fde,0.7439590075512406,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 21, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.7195007742918422, 'latent_dim': 36, 'opt_lr': 7.190525072658677e-05, 'opt_wd': 7.139159141648628e-06}"
4480,f2d944c8,0.7387270765911543,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 27, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.2645782295304944, 'latent_dim': 128, 'opt_lr': 0.0006483221280894849, 'opt_wd': 4.3373708397390066e-06}"
5782,d44357ab,0.7515641855447681,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.4804334957861327, 'latent_dim': 48, 'opt_lr': 1.840234349593641e-05, 'opt_wd': 7.3822868068404915e-06}"
6363,f6a47900,0.7524811218985976,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 25, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.8686317521490291, 'latent_dim': 81, 'opt_lr': 2.5299358566117952e-05, 'opt_wd': 6.6628475896629605e-06}"
7270,7e239039,0.7487594390507011,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 8, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.4416678239724767, 'latent_dim': 99, 'opt_lr': 0.00016787220733798194, 'opt_wd': 2.758046842879296e-06}"
8460,be3d7e6d,0.642286947141316,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 32, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.6478468502216503, 'latent_dim': 3, 'opt_lr': 3.14021873016625e-05, 'opt_wd': 5.80807709284786e-06}"
19215,635590af,0.7324163969795038,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 4, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.629239668064096, 'latent_dim': 64, 'opt_lr': 0.0005677762689253995, 'opt_wd': 3.375251693804953e-06}"
22680,5bc919b5,0.6125134843581447,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 27, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.11710900010043097, 'latent_dim': 47, 'opt_lr': 1.656792144087153e-05, 'opt_wd': 1.1537788664092608e-06}"
25389,955c72c6,0.7395900755124056,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 12, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.2053483592545577, 'latent_dim': 100, 'opt_lr': 1.5075841182593369e-05, 'opt_wd': 6.176454681999506e-06}"
26800,e0f1bcd1,0.7261057173678533,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 13, 'kernel': 3, 'num_HL': 2, 'm_lambda': 0.940022893355175, 'latent_dim': 81, 'opt_lr': 0.0005829760917197017, 'opt_wd': 2.8723863000865817e-06}"
35587,856d4e42,0.797411003236246,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.43520443294110833, 'latent_dim': 19, 'opt_lr': 1.9511129760088247e-05, 'opt_wd': 8.627439637381366e-06}"
48847,be47c1e6,0.7074973031283711,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 24, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.18502990636811067, 'latent_dim': 35, 'opt_lr': 2.464739708433723e-05, 'opt_wd': 4.683523238441907e-06}"
51511,3b1311d2,0.6997842502696872,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 27, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.4512420141653988, 'latent_dim': 143, 'opt_lr': 0.0001676206081512644, 'opt_wd': 1.9909074618458345e-06}"
57192,dac8a17a,0.5777777777777777,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 24, 'kernel': 4, 'num_HL': 4, 'm_lambda': 2.251713695929814, 'latent_dim': 119, 'opt_lr': 0.0003761210774189883, 'opt_wd': 1.2571013882441852e-06}"
59140,a85390b7,0.7141316073354909,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 15, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.0396558182227762, 'latent_dim': 25, 'opt_lr': 1.575869789238023e-05, 'opt_wd': 7.3129747571150744e-06}"
60377,71ed08f8,0.7610571736785329,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 24, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.2617107533671228, 'latent_dim': 48, 'opt_lr': 1.3085436209170269e-05, 'opt_wd': 3.395758367297919e-06}"
61133,bc1df34d,0.7585760517799354,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 5, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.8549440309493606, 'latent_dim': 116, 'opt_lr': 2.1585411719979684e-05, 'opt_wd': 4.154688492399128e-06}"
62274,19bf5648,0.5927723840345199,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 17, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.9904310263386358, 'latent_dim': 4, 'opt_lr': 0.0001646284673038331, 'opt_wd': 9.19402286552276e-06}"
64163,245a772f,0.7129449838187703,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.4083710614970696, 'latent_dim': 163, 'opt_lr': 0.00028444824785023694, 'opt_wd': 9.579465047677404e-06}"
67718,4754dcd6,0.6767529665587918,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 9, 'kernel': 4, 'num_HL': 4, 'm_lambda': 1.5669332527713797, 'latent_dim': 168, 'opt_lr': 4.2758134513061984e-05, 'opt_wd': 8.308244016621998e-06}"
74164,c4cea638,0.6931499460625674,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 26, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.069214975071124, 'latent_dim': 146, 'opt_lr': 8.25946696794279e-05, 'opt_wd': 4.5845532686837805e-06}"
79861,4b57420c,0.7341963322545848,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 15, 'kernel': 4, 'num_HL': 4, 'm_lambda': 2.8881384377154964, 'latent_dim': 16, 'opt_lr': 4.547875694780363e-05, 'opt_wd': 1.4932794680351267e-07}"
81565,d8bf15ad,0.7303128371089536,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 11, 'kernel': 4, 'num_HL': 4, 'm_lambda': 0.6969940253273854, 'latent_dim': 159, 'opt_lr': 0.00028932916274377306, 'opt_wd': 5.677642582477293e-06}"
101674,e0c22955,0.6669902912621359,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 21, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.26227592409869, 'latent_dim': 138, 'opt_lr': 1.0531649608234129e-05, 'opt_wd': 1.1111704407664555e-07}"
102867,cac2702b,0.6738942826321467,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 16, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.6094992952614479, 'latent_dim': 8, 'opt_lr': 0.0009629594309281088, 'opt_wd': 5.4745727519432966e-06}"
105386,f9472311,0.7473031283710896,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 2, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.536115064400679, 'latent_dim': 174, 'opt_lr': 0.00011676500347225525, 'opt_wd': 9.621784908660337e-06}"
110507,c66706d5,0.7338187702265373,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 13, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.741293175009145, 'latent_dim': 108, 'opt_lr': 4.970730266076566e-05, 'opt_wd': 8.237109925481802e-06}"
